ID ,NAME   ,LASTNAME,PHONE,SALARY ,AGE,TYPE
10129,Betty,Hart,2028364201,12000,21,Supervisor
12157,Mount,Katz,5928175927,39000,29,Employee
20214,Henry,Laurier,2022345858,27000,25,Employee
24844,James,Madden,4069281730,24000,22,Employee
25110,Pulisic,Ricco,8572020328,24000,27,Employee
37291,Havertz,Elrod,8732649191,50000,30,Supervisor
41033,Haaland,Marlowe,8572020328,28000,21,Employee
41844,Mendy,Elrod,2027324648,23000,33,Employee
42219,Mount,Whitlock,2022345858,45000,23,Employee
43879,James,Marlowe,9449235577,32000,26,Supervisor 
60011,Werner,Tanner,7799695577,45000,30,Employee
76139,Tuchel,Brady,8396719392,30450,41,Employee
78324,Britney,Ivens,1238912493,30000,51,employee
79142,Kante,Jules,9492345577,20000,32,Employee
80600,Thiago,Ivens,5928175927,70000,44,Supervisor
90132,Haaland,Ratliff,1932847943,42000,29,Supervisor
90622,Jorginho,Beck ,2027324648,50000,24,Supervisor
90824,Rudy ,Paige,9492345577,34000,21,Employee
